frame,time_s,terrain_mean,splash_pixels,stem_color_pixels,upper_stem_pixels,stem_top_y
0,0.0,35.434,1414,6830,6830,280.0
1,0.016667,35.404,1231,6926,6926,280.0
2,0.033333,35.395,1206,7003,7003,280.0
3,0.05,35.397,1232,7114,7114,280.0
4,0.066667,35.396,1180,7220,7220,280.0
5,0.083333,35.395,1179,7176,7176,280.0
6,0.1,35.406,939,7501,7501,280.0
7,0.116667,35.395,970,7434,7434,280.0
8,0.133333,35.384,958,7546,7546,280.0
9,0.15,35.362,960,7651,7651,280.0
10,0.166667,35.36,947,7683,7683,280.0
11,0.183333,35.36,963,7700,7700,280.0
12,0.2,35.358,966,7663,7663,280.0
13,0.216667,35.359,961,7672,7672,280.0
14,0.233333,35.36,951,7616,7616,280.0
15,0.25,35.357,952,7620,7620,280.0
16,0.266667,35.353,940,7664,7664,280.0
17,0.283333,35.357,976,7666,7666,280.0
18,0.3,35.357,954,7670,7670,280.0
19,0.316667,35.357,954,7671,7671,280.0
20,0.333333,35.354,954,7636,7636,280.0
21,0.35,35.354,954,7636,7636,280.0
22,0.366667,35.354,947,7638,7638,280.0
23,0.383333,35.351,945,7607,7607,280.0
24,0.4,35.35,947,7599,7599,280.0
25,0.416667,35.349,948,7596,7596,280.0
26,0.433333,35.347,945,7606,7606,280.0
27,0.45,35.346,944,7638,7638,280.0
28,0.466667,35.346,943,7640,7640,280.0
29,0.483333,35.344,943,7646,7646,280.0
30,0.5,35.343,949,7649,7649,280.0
31,0.516667,35.341,901,7682,7682,280.0
32,0.533333,35.336,904,7750,7750,280.0
33,0.55,35.335,905,7707,7707,280.0
34,0.566667,35.335,908,7644,7644,280.0
35,0.583333,35.333,911,7677,7677,280.0
36,0.6,35.334,911,7681,7681,280.0
37,0.616667,35.335,914,7666,7666,280.0
38,0.633333,35.334,914,7651,7651,280.0
39,0.65,35.334,914,7657,7657,280.0
40,0.666667,35.334,914,7657,7657,280.0
41,0.683333,35.333,914,7678,7678,280.0
42,0.7,35.332,904,7658,7658,280.0
43,0.716667,35.332,911,7659,7659,280.0
44,0.733333,35.33,917,7677,7677,280.0
45,0.75,35.332,917,7696,7696,280.0
46,0.766667,35.331,918,7702,7702,280.0
47,0.783333,35.332,919,7718,7718,280.0
48,0.8,35.332,920,7715,7715,280.0
49,0.816667,35.332,918,7677,7677,280.0
50,0.833333,35.332,913,7669,7669,280.0
51,0.85,35.332,913,7672,7672,280.0
52,0.866667,35.332,904,7733,7733,280.0
53,0.883333,35.332,904,7737,7737,280.0
54,0.9,35.333,904,7730,7730,280.0
55,0.916667,35.333,903,7746,7746,280.0
56,0.933333,35.333,903,7746,7746,280.0
57,0.95,35.333,904,7712,7712,280.0
58,0.966667,35.333,917,7725,7725,280.0
59,0.983333,35.332,919,7745,7745,280.0
60,1.0,35.331,800,7680,7680,280.0
61,1.016667,35.33,800,7681,7681,280.0
62,1.033333,35.33,800,7673,7673,280.0
63,1.05,35.33,800,7669,7669,280.0
64,1.066667,35.331,803,7673,7673,280.0
65,1.083333,35.331,807,7674,7674,280.0
66,1.1,35.331,807,7668,7668,280.0
67,1.116667,35.329,807,7673,7673,280.0
68,1.133333,35.329,805,7667,7667,280.0
69,1.15,35.329,805,7717,7717,280.0
70,1.166667,35.332,805,7723,7723,280.0
71,1.183333,35.332,806,7723,7723,280.0
72,1.2,35.333,807,7725,7725,280.0
73,1.216667,35.332,808,7721,7721,280.0
